n,Number,Floor,Layout,Type, View, Square, ExSquare,TotalArea, Price AED, Price USD, target_column
174,B-710,7,2B Convertible,A,Street,1 169,128,1 297,2 094 009,573 701,2094009
175,B-711,7,2B Convertible,A,Street,1 178,126,1 304,2 098 085,574 818,2098085
176,B-712,7,3B Convertible,A,Street,1 458,129,1 587,2 547 455,697 933,2547455
177,B-713,7,1B Convertible,C,Pool,977,121,1 098,1 860 410,509 701,1860410
178,B-714,7,1B Convertible,A,Pool,845,129,974,1 794 204,491 563,1794204
179,B-715,7,1B Convertible,A,Pool,845,93,938,1 774 825,486 253,1774825
180,B-716,7,1B Convertible,B,Pool,912,70,982,1 798 067,492 621,1798067
181,A-801,8,1B Convertible,B,Pool,923,70,993,1 810 193,495 943,1810193
182,A-804,8,1B Convertible,C,Pool,953,121,1 075,1 854 328,508 035,1854328
183,A-805,8,2B Convertible,A,Street,1 178,169,1 347,2 132 900,584 356,2132900
184,A-806,8,1B Convertible,A,Street,845,83,929,1 761 585,482 626,1761585
185,A-807,8,1B Convertible,A,Street,845,83,929,1 761 585,482 626,1761585
186,A-808,8,1B Convertible,A,Street,845,83,929,1 761 585,482 626,1761585
187,A-813,8,1B Convertible,A,Pool,859,62,921,1 770 900,485 178,1770900
188,B-803,8,3B Convertible,B,Street,1 515,142,1 658,2 593 471,710 540,2593471
189,B-804,8,ST Convertible,A,Street,421,26,447,1 094 795,299 944,1094795
190,B-805,8,ST Convertible,A,Street,421,27,448,1 095 615,300 168,1095615
191,B-806,8,ST Convertible,A,Street,421,27,448,1 095 615,300 168,1095615
192,B-807,8,ST Convertible,A,Street,421,26,447,1 094 795,299 944,1094795
193,B-808,8,2B Convertible,C,Street,1 211,133,1 344,2 131 307,583 920,2131307
194,B-809,8,1B Convertible,A,Street,845,60,906,1 749 558,479 331,1749558
195,B-810,8,2B Convertible,A,Street,1 169,128,1 297,2 103 628,576 336,2103628
196,B-811,8,2B Convertible,A,Street,1 178,126,1 304,2 107 757,577 468,2107757
197,B-812,8,3B Convertible,A,Street,1 458,129,1 587,2 557 922,700 801,2557922
198,B-813,8,1B Convertible,C,Pool,977,121,1 098,1 866 801,511 452,1866801
199,B-814,8,1B Convertible,A,Pool,845,129,974,1 799 875,493 116,1799875
200,B-815,8,1B Convertible,A,Pool,845,93,938,1 780 286,487 750,1780286
201,B-816,8,1B Convertible,B,Pool,912,70,982,1 803 780,494 186,1803780
